Word,BestWordListResult,RandomWordListResult,AUDIOThenRandomWordsResult,AUDIOThenBestWordsResult
saute,2,4.8,5.2,3
idiom,4,4.6,4.8,6
odors,5,4.4,5.6,6
genua,5,4.8,4.4,5
botts,9,5.6,7.4,10
acing,5,5.8,6.2,5
cores,3,7.6,6.2,4
loses,10,6.2,6.4,10
guilt,4,5.0,4.0,4
pavan,5,5.0,4.8,5
tardy,2,5.2,6.8,3
impel,4,3.8,4.8,6
ictic,5,4.8,4.4,4
scary,4,5.0,5.2,4
anise,4,4.8,4.2,4
plica,6,4.6,5.8,5
scant,4,5.4,5.6,4
mists,6,5.0,6.2,6
voled,5,6.6,6.2,7
warps,7,6.8,7.0,7
hones,5,7.0,6.2,6
uncle,5,5.0,4.0,4
loden,3,5.6,4.2,3
tores,2,6.4,7.4,2
bauds,4,6.0,4.0,4
calms,4,5.6,5.6,3
grime,5,5.0,5.0,5
worts,6,5.6,6.2,7
puppy,5,4.4,5.4,5
brews,6,5.8,4.8,4
bilks,6,5.0,5.0,4
rooms,6,4.8,4.2,5
mabes,6,6.0,7.8,6
latte,3,4.6,4.6,5
flood,5,5.0,4.4,5
magma,6,5.2,5.0,5
ceder,5,5.6,3.2,3
emmys,6,5.8,5.2,6
helot,4,4.6,5.4,5
seeps,5,5.8,6.0,5
magot,4,5.4,5.2,6
highs,6,5.8,5.6,6
gramp,5,4.8,5.6,5
toyon,4,5.0,4.4,4
ameba,6,5.0,4.8,4
tepas,3,4.6,6.0,6
celom,4,5.0,5.0,5
drove,6,4.6,5.0,4
gemma,4,4.4,5.4,5
hokes,6,5.6,6.8,6
hoyas,4,6.0,5.8,6
feyly,6,5.2,5.4,5
logoi,5,4.2,4.4,4
fames,6,6.6,6.6,7
chare,4,5.4,5.2,4
hecks,8,4.0,6.2,4
rowan,4,4.2,4.6,5
tithe,4,4.8,4.6,5
babka,5,4.8,5.6,5
yangs,7,5.8,7.0,8
molar,4,4.8,4.6,6
cries,3,5.8,5.4,4
alive,4,4.8,4.6,5
cutin,4,5.0,4.8,4
lardy,4,6.0,5.0,4
derat,2,5.8,4.8,4
nerds,6,4.2,4.2,4
thrip,3,4.0,4.0,3
liber,4,5.6,6.0,6
yacks,6,6.8,6.0,7
wiles,7,7.2,8.0,8
baric,5,5.0,4.2,4
ousel,3,5.2,3.8,3
darer,3,7.6,8.2,3
slyly,4,4.8,3.6,4
dowry,5,4.6,5.0,4
parka,5,4.8,5.8,4
tacts,6,5.0,7.0,6
moved,6,7.8,6.2,7
septs,3,5.6,6.4,7
conin,4,4.8,3.8,5
lobes,6,5.8,7.8,6
vails,10,6.8,6.8,12
prude,4,3.8,4.2,4
moray,4,4.6,5.4,4
kombu,4,4.4,5.0,5
rebar,6,5.2,5.2,7
tangy,3,5.2,5.2,4
remap,5,5.2,5.4,5
trunk,3,4.2,5.0,4
zoeae,4,6.0,4.2,4
prosy,5,5.0,4.4,4
goner,4,6.4,5.2,5
nappe,4,4.6,5.2,4
drags,6,5.4,6.2,5
coxes,10,8.8,7.4,10
yaird,3,4.8,3.8,5
crate,3,5.0,4.8,3
brook,6,4.4,4.6,6
boils,4,6.2,6.0,6
zesty,5,6.2,6.2,4
hajes,9,7.2,8.6,9
sutra,3,4.8,4.6,3
amici,5,4.4,4.4,5
ripes,6,6.0,6.6,6
mises,8,7.4,7.2,8
leant,2,4.8,4.6,3
clerk,5,4.0,4.2,3
aurae,3,5.0,3.8,3
franc,5,4.8,5.6,5
viols,4,4.4,4.2,9
crags,5,6.4,6.6,5
bibbs,7,7.2,5.6,6
perdu,4,4.8,4.4,3
azoth,5,4.8,4.6,5
saver,9,6.6,6.4,10
croze,5,5.4,5.6,5
madre,3,5.2,4.8,5
vroom,6,5.0,5.6,7
human,5,5.0,4.4,5
pawls,3,5.6,6.2,5
begum,4,5.0,4.4,4
sains,8,4.8,7.2,10
cable,3,5.2,5.2,4
doves,7,7.0,8.4,7
marly,3,3.8,4.8,4
bench,4,5.0,5.2,4
warty,3,6.4,5.6,4
etape,5,4.8,5.2,6
varus,8,6.0,5.2,5
sises,9,7.4,8.6,9
kings,6,6.6,6.0,5
lidos,4,4.8,3.8,3
shied,4,5.2,5.6,4
ulama,5,4.8,5.0,4
awake,5,5.2,4.6,5
ruffe,5,5.4,4.6,4
girds,5,6.2,5.4,6
minny,5,3.8,5.4,5
lyric,3,4.8,4.2,3
unjam,5,5.2,5.0,6
groks,6,6.0,5.6,6
curet,2,4.6,5.4,3
nouns,7,4.6,7.0,6
scend,4,4.4,4.8,5
lyses,6,5.0,6.2,5
croci,6,3.8,4.8,7
hobos,6,5.2,6.6,7
debut,3,4.0,4.8,5
roups,3,4.4,4.8,4
nards,4,5.8,7.6,5
lagan,5,5.4,4.6,4
prink,4,5.2,4.6,4
colds,3,4.6,5.8,4
snook,5,4.8,4.4,6
tawny,4,4.8,6.4,5
songs,7,6.4,6.6,7
glugs,6,5.2,5.0,6
farer,8,7.0,7.6,8
clime,4,4.4,5.4,4
peery,6,5.2,5.0,5
scuff,4,4.6,4.8,5
loafs,6,4.4,5.6,6
hafiz,5,5.2,4.8,6
flawy,6,5.8,5.6,5
lions,3,4.4,4.0,4
herby,4,6.8,4.6,6
zouks,6,6.2,5.6,6
fixes,8,7.8,6.6,8
scaup,5,5.0,5.0,5
copen,4,5.2,5.8,4
mesas,9,5.8,6.0,6
aedes,4,5.4,2.8,3
guava,4,5.6,5.6,5
gault,3,4.8,5.0,3
bloop,4,5.2,4.4,5
fawny,4,5.6,6.8,4
sabir,4,5.0,4.4,3
libra,4,4.2,5.4,8
redux,5,4.8,3.4,4
flash,6,5.2,4.8,5
hahas,7,6.4,8.6,7
etnas,4,6.0,4.8,5
hatch,8,4.6,7.8,9
cloys,7,5.2,4.6,5
pulps,6,5.2,6.0,6
tragi,6,4.2,4.8,4
onlay,3,5.0,5.2,5
letup,4,4.2,4.8,4
train,4,5.2,4.2,5
eying,4,5.8,6.0,5
gorsy,3,5.0,6.0,3
donne,5,4.8,4.0,4
penna,5,5.4,5.2,7
clack,5,5.4,5.6,7
lassi,5,5.0,4.2,4
locus,3,5.6,5.6,5
sines,12,6.4,7.6,13
perea,4,5.8,5.4,6
khafs,5,4.4,5.2,6
snark,6,5.6,6.4,4
naira,6,4.4,5.2,5
coder,3,5.6,6.0,3
freak,6,5.0,5.8,7
subas,7,6.4,5.0,5
splat,5,4.4,4.8,4
sebum,5,4.8,4.2,4
sough,4,4.8,4.6,4
rotis,2,4.0,3.6,3
rodes,4,6.2,6.4,2
poked,4,5.4,6.6,6
proas,4,4.8,4.8,4
aitch,4,4.2,4.2,4
almas,5,4.8,4.8,5
birse,3,5.2,5.0,3
lames,5,5.8,6.6,5
taels,2,5.6,4.6,3
molly,6,5.6,6.8,6
pores,4,5.6,7.2,5
zappy,6,6.0,5.4,7
urari,5,4.8,3.6,3
clang,5,5.2,5.6,5
lefts,4,4.4,6.2,4
shend,3,5.2,4.4,4
likes,5,5.2,6.0,5
preed,5,5.4,5.0,5
rifle,3,5.2,4.8,3
actor,6,5.0,4.6,6
delfs,5,5.0,5.6,3
kemps,5,5.8,5.4,4
idler,4,5.6,5.6,5
glean,7,5.4,6.2,5
hacek,4,4.0,4.6,5
bronc,4,5.2,4.8,4
conge,4,4.8,4.2,4
imply,5,4.6,6.6,7
decos,3,5.2,4.4,4
comal,3,4.2,5.4,4
hears,8,5.6,7.8,8
cetes,5,5.8,7.0,3
hurts,4,4.2,4.4,4
knish,4,4.2,5.6,5
saker,6,6.8,7.6,7
pubic,4,4.0,3.8,4
words,6,6.4,6.2,5
unhip,4,5.0,4.8,4
swots,7,5.4,6.2,8
wands,6,5.8,6.0,6
epoxy,4,4.2,4.6,6
grave,7,5.4,5.8,7
jills,15,10.0,9.2,13
ecrus,4,5.2,4.8,5
press,5,5.8,6.0,5
snows,7,5.8,5.8,6
shyer,5,3.4,5.2,4
offal,6,5.0,5.6,5
invar,4,4.4,5.2,5
peles,5,5.6,5.4,5
footy,6,5.0,6.4,5
rutin,4,4.2,3.6,3
charm,4,4.8,4.6,5
chica,4,4.2,4.8,6
prior,4,4.2,4.0,5
cokes,7,6.2,7.8,7
types,5,6.6,5.6,4
echos,4,5.0,4.4,6
octet,3,4.8,5.2,6
olein,5,5.0,4.8,4
copse,5,5.0,4.0,4
vague,5,5.2,4.0,5
splay,3,4.8,5.2,4
sucky,3,4.6,5.0,4
bhang,4,5.2,5.6,5
dozen,5,4.6,6.8,6
bails,4,6.6,8.2,6
sykes,6,6.6,4.8,8
latke,3,5.0,5.4,3
maile,3,5.4,4.6,3
taluk,4,3.6,4.4,4
raise,2,4.8,4.2,3
loath,3,4.4,4.8,4
hawse,6,5.4,5.0,5
allow,8,5.6,4.2,6
douma,4,5.2,2.0,4
slams,7,6.6,5.4,7
waits,4,5.6,5.6,6
egret,4,5.2,5.0,4
neons,4,5.0,5.0,4
manic,4,5.6,3.4,5
feeze,6,4.4,4.8,6
icing,4,4.6,5.0,5
helps,5,4.6,6.0,3
wrens,4,4.2,5.6,4
tench,4,5.0,5.2,3
spile,4,4.6,4.8,5
pujas,5,5.8,4.6,6
senor,2,4.8,7.2,3
fohns,5,7.8,6.4,5
sands,7,4.6,6.2,7
lints,3,5.0,5.4,3
carpi,4,4.2,4.8,5
lungs,3,5.8,5.6,4
chubs,5,4.8,4.8,5
orcas,4,4.2,6.0,5
deeds,8,8.6,6.0,7
dirts,3,6.4,5.2,3
laigh,4,4.2,3.8,5
urare,6,4.4,4.6,4
prate,5,5.8,5.6,4
scrum,5,5.0,5.8,5
trace,4,5.4,5.6,4
salad,4,4.2,3.6,4
suede,4,3.8,4.6,4
socle,3,5.0,5.6,3
fatso,5,4.2,5.2,4
addax,5,4.4,2.8,3
pumps,7,5.6,6.6,8
deash,5,4.8,4.6,3
sprat,4,4.6,5.2,4
lakes,6,9.0,8.4,6
lurid,3,4.4,3.4,2
yogic,4,4.8,5.0,5
split,3,4.4,3.8,3
mourn,5,5.2,4.2,6
mezes,7,6.0,5.8,4
pails,2,7.6,7.8,4
canso,3,4.0,4.8,4
tykes,6,5.6,5.4,5
ebook,5,6.0,5.0,6
viewy,6,4.2,5.4,5
fogey,6,5.4,5.8,7
zebec,4,5.2,5.4,4
coded,10,8.8,5.6,6
doggy,6,5.8,4.4,8
hawks,6,6.4,6.8,5
corky,3,4.2,5.6,4
arles,2,5.0,4.8,2
salps,4,5.6,5.0,5
haute,2,4.4,4.2,3
lurch,4,4.6,4.4,3
voice,4,5.2,5.0,5
sides,7,6.0,6.0,8
toles,2,6.0,6.8,3
speel,5,5.4,4.8,4
hefts,5,6.0,5.6,5
cline,3,5.2,4.6,3
vairs,9,6.2,8.0,8
phuts,4,5.6,4.4,4
spree,8,5.0,4.6,6
feces,6,6.6,6.2,7
mumps,8,6.2,6.6,9
situs,5,4.0,3.6,6
labor,3,4.4,5.4,5
noddy,4,7.0,4.0,5
misty,3,3.8,4.6,4
gnash,6,5.0,5.8,5
jetty,7,5.2,5.2,7
haars,6,4.8,5.6,5
ricer,4,5.2,6.0,5
damar,4,5.4,4.0,3
scent,5,5.2,5.6,5
zitis,7,6.0,5.0,6
getas,8,5.0,5.2,9
amyls,4,4.6,4.2,4
welsh,5,5.0,4.6,4
drouk,4,4.6,4.2,5
etyma,4,4.4,5.8,5
genes,6,6.0,6.4,7
eaten,4,4.6,5.6,5
nosey,4,4.2,5.6,4
kevel,5,6.2,5.4,6
talus,3,6.0,5.6,3
yomim,4,4.0,4.8,6
cadis,3,5.4,6.0,2
mufti,4,4.8,3.8,5
torrs,6,6.2,7.2,6
dicer,4,5.2,5.6,4
dured,5,5.4,5.0,3
hanse,5,6.0,5.0,5
curst,4,5.0,5.2,4
discs,4,5.2,6.6,5
loams,5,6.8,5.0,5
quake,4,5.2,4.0,4
ovoid,4,5.0,5.4,7
loofa,4,4.8,5.4,6
tufty,5,4.6,4.4,5
drone,5,5.2,4.6,3
feyer,5,4.8,4.8,4
guano,4,4.4,2.4,2
yaffs,7,6.0,7.0,8
eyers,11,6.2,4.8,3
spook,5,4.0,4.8,5
avows,6,5.8,4.0,5
nodes,4,6.4,5.6,5
huffy,6,5.8,6.0,6
ogive,6,4.6,4.8,6
limbs,5,6.6,5.2,5
goons,5,6.8,5.6,5
trapt,6,4.2,6.0,6
nodal,5,4.6,3.6,4
antae,7,4.2,4.2,4
gripy,5,3.8,4.6,5
yodel,3,5.6,4.4,5
kited,4,5.8,5.4,5
drips,4,4.2,5.4,3
jerid,5,6.6,5.0,4
jupes,5,7.2,5.8,5
tophs,4,3.8,5.6,4
meted,6,5.0,5.2,4
larky,5,5.6,5.2,5
gites,7,7.2,6.8,7
rooty,4,5.6,5.2,4
cohos,7,7.2,5.4,8
casks,6,4.6,5.8,6
narcs,4,5.0,6.2,4
guise,4,4.4,4.2,4
modal,5,4.8,3.8,5
genro,4,4.6,3.8,4
sokol,4,5.8,4.6,4
louma,5,5.0,3.0,3
dolor,4,4.2,4.4,3
opens,4,7.2,5.8,4
kapok,4,5.0,5.8,6
bucks,5,5.4,5.4,5
laura,4,4.2,5.0,4
bacon,4,5.4,5.4,5
cakes,7,7.0,7.0,7
oasts,7,4.4,6.0,8
dolly,4,6.4,5.4,4
dints,3,5.8,5.4,3
avers,12,5.0,4.6,5
eider,7,6.0,5.8,7
rabic,4,4.8,4.6,5
ogles,3,5.0,8.0,10
loyal,3,5.0,5.2,5
cream,8,6.4,6.8,8
worst,4,4.0,6.0,4
ulnae,4,4.8,5.2,3
blawn,5,4.6,5.0,5
wared,8,7.8,8.4,9
scorn,4,4.8,4.8,4
cloot,4,5.2,4.8,5
doeth,5,5.0,4.2,3
jingo,5,5.0,5.0,7
arias,5,5.0,4.4,4
arras,5,5.4,4.6,3
diner,3,5.6,4.4,3
sculp,4,4.6,4.4,4
gombo,5,5.2,3.6,5
verse,5,5.4,5.6,5
kooks,7,4.8,8.0,8
upbye,4,4.0,4.2,4
nervy,4,5.2,6.2,7
trump,4,4.8,4.8,5
rewax,7,5.6,5.6,7
since,3,5.4,4.6,3
chine,4,4.4,6.0,4
faced,6,5.6,7.4,7
gyves,6,5.8,6.4,7
antes,2,4.8,5.2,3
ataxy,4,5.4,4.2,4
abbas,7,4.8,4.6,6
joles,9,8.2,6.2,9
frump,5,4.4,5.2,5
eidos,4,5.4,3.6,2
yugas,5,5.0,4.8,7
apply,5,5.4,4.2,4
weest,7,4.8,5.4,6
sunny,4,6.0,5.4,5
yodhs,5,6.0,4.2,3
gutta,4,5.0,5.6,4
veeps,10,6.4,7.2,10
varia,6,5.8,4.4,5
laced,3,9.0,8.4,4
toyos,7,6.6,4.8,8
boing,4,4.2,5.2,5
pearl,4,4.4,4.6,4
views,6,5.8,5.6,5
swans,6,4.6,6.4,6
apish,5,4.6,4.8,4
stagy,3,5.2,5.8,4
noway,5,5.0,4.6,4
warks,8,7.6,8.2,8
ambos,4,4.4,3.8,4
saxes,10,8.2,7.6,10
fryer,6,5.8,5.8,5
yetts,7,6.8,4.6,3
ruana,6,5.0,4.4,4
odder,6,5.0,6.4,6
coved,7,7.0,7.2,10
whore,4,4.8,4.8,6
zests,12,8.4,8.6,12
louse,4,5.8,5.2,4
anole,3,5.6,4.8,3
ralph,3,5.0,3.8,4
sabes,8,6.4,6.6,7
bemas,7,5.0,5.8,6
blood,4,5.4,4.0,5
hawed,6,6.4,10.0,8
cered,4,4.8,5.4,4
psych,5,4.0,3.8,3
elate,7,5.8,5.0,6
platy,3,5.0,4.2,5
chums,3,5.4,4.6,4
peeve,5,4.8,4.8,5
strip,3,5.2,4.0,4
serfs,9,5.8,5.6,7
trois,2,3.8,3.8,4
fatal,6,4.4,5.4,5
shily,3,5.4,5.6,4
shive,5,5.4,7.0,5
ornis,3,4.6,4.0,4
huger,6,5.8,4.8,6
krait,4,4.0,4.4,5
lifer,6,5.4,7.8,8
fritz,5,4.2,5.2,5
kente,5,5.4,4.8,4
orpin,6,5.2,4.0,6
aquae,5,6.0,4.2,5
dingo,3,4.8,3.4,3
forby,6,6.8,4.4,6
keels,8,4.6,6.0,7
rears,6,6.6,7.8,6
mulla,4,5.6,5.8,5
kelps,7,5.6,5.8,4
hewer,5,5.2,5.0,5
toits,3,5.8,4.2,4
filch,5,4.8,5.6,5
gaffs,7,7.2,7.2,6
neeps,4,6.8,5.4,6
looms,6,6.0,5.0,6
wonks,7,6.0,6.0,8
djins,4,4.8,4.8,3
towny,3,5.0,5.8,3
tutty,4,4.4,6.6,7
retag,7,6.0,5.2,6
pucka,4,3.8,5.8,5
chaps,5,5.0,5.0,5
shits,6,4.6,5.0,6
dowdy,4,5.8,5.4,5
lobby,5,4.6,6.2,7
joule,4,5.6,4.2,4
obias,5,5.4,4.0,4
motes,5,5.0,5.8,5
tenth,5,4.6,5.0,4
goals,3,5.6,5.2,5
alder,3,6.4,2.8,2
lucre,3,6.2,5.0,3
sager,4,8.0,6.2,5
flock,5,4.0,5.0,5
pervs,6,5.0,6.2,6
tolas,2,5.2,4.6,4
flown,5,5.0,4.4,5
forts,5,5.6,6.4,6
nanas,7,7.8,7.8,6
ricks,4,7.6,7.6,4
abaka,6,5.2,4.8,6
seres,6,6.6,6.2,3
tubae,3,5.0,4.0,3
chips,4,5.2,5.4,4
irids,6,4.6,4.2,5
beard,4,4.2,4.4,4
oldie,3,4.8,2.6,3
filer,4,5.6,5.8,5
gives,6,5.2,7.4,6
hotch,4,4.8,6.0,4
brows,6,6.4,6.4,6
croon,6,6.2,5.4,5
passe,6,5.4,4.6,6
chili,4,5.6,5.6,6
filum,5,5.2,3.6,5
yente,4,4.2,4.6,5
bazar,4,4.8,5.0,6
annoy,4,5.4,4.0,5
prigs,6,5.2,4.8,5
lolls,9,6.0,8.4,9
dimes,4,5.2,6.0,6
ayahs,5,5.2,5.0,4
whirr,6,4.4,5.8,6
chads,4,5.0,4.6,4
macer,5,5.2,6.0,6
vomer,7,5.4,6.8,7
vomit,3,4.0,4.6,4
oboli,4,5.2,4.6,5
scarp,5,4.0,6.2,5
edict,4,4.6,5.2,5
parvo,4,5.2,4.8,5
wrier,7,5.8,6.2,10
gipsy,5,5.2,5.4,4
johns,6,5.0,7.0,6
dinge,4,5.4,4.0,4
skirt,5,3.8,4.6,5
okays,5,6.0,5.6,7
rerig,7,5.6,4.6,6
topos,5,5.4,6.8,5
chela,7,4.8,5.8,5
bands,4,5.2,5.0,4
soras,6,5.6,5.6,7
udder,6,5.8,3.4,4
peavy,5,5.0,5.6,6
oxeye,6,4.4,6.0,6
bield,4,5.4,5.0,4
surge,4,5.0,4.6,3
haiks,5,5.2,4.8,5
reded,6,4.8,4.0,4
salvo,3,4.6,4.4,5
deads,4,6.0,6.2,5
spurn,3,5.6,4.4,4
cutup,3,4.2,4.8,4
scums,5,6.0,5.0,5
hexed,7,5.8,4.8,6
moron,5,5.2,4.8,5
offer,6,6.2,7.4,9
pound,3,5.6,5.4,5
costs,4,7.0,6.6,4
sengi,4,4.0,5.6,5
mates,7,7.6,7.4,7
comas,4,5.4,5.4,5
pinot,3,4.6,4.4,5
herls,5,6.0,6.4,4
duked,6,6.0,4.0,5
aloes,2,5.2,3.4,2
lunts,3,5.4,4.8,3
zooks,8,7.0,7.0,9
valid,4,4.6,4.0,6
clued,4,6.4,5.0,3
bouse,5,6.8,5.0,5
wrath,6,4.8,4.8,5
winds,8,6.0,6.4,9
pends,4,6.8,5.8,4
tripe,4,5.4,5.8,5
brads,6,6.4,4.2,4
comic,5,4.6,4.6,6
grubs,4,5.0,4.0,3
soyas,5,5.8,5.6,7
biome,3,3.6,4.0,4
oinks,7,6.4,5.4,6
print,3,4.8,4.8,3
lowed,5,6.2,8.0,5
wrung,6,4.8,4.6,4
ouzel,4,6.0,4.6,4
pinna,5,5.0,4.4,5
salve,4,4.6,5.8,4
amoks,5,5.6,4.0,4
cylix,4,4.8,3.6,4
nizam,5,4.2,5.0,5
shoji,5,5.6,4.8,7
looed,8,6.2,6.6,8
email,3,3.6,4.8,5
tempo,4,4.4,3.6,4
tabus,6,5.8,4.8,4
squid,3,4.0,2.6,3
eared,9,8.0,6.4,10
skene,5,5.4,5.6,5
flota,3,4.4,5.4,6
title,3,4.8,5.0,4
kiang,4,4.2,5.4,4
olios,3,4.4,4.0,4
lepta,4,5.0,5.6,5
smogs,4,4.6,5.6,5
jades,7,7.0,3.8,7
guans,4,4.2,4.6,4
mangy,3,5.4,5.8,4
rummy,6,4.6,5.6,5
uncoy,4,4.0,4.6,4
brock,5,4.4,5.2,4
leash,4,4.6,6.8,6
saith,3,3.8,4.4,5
reest,4,4.8,4.8,7
cooer,9,6.4,7.0,9
snare,2,4.2,5.4,4
quant,4,4.8,3.2,4
ranee,3,4.4,6.0,4
wetly,4,5.2,4.8,4
nowts,6,4.6,5.6,5
schmo,5,3.2,3.8,3
pills,5,9.0,5.8,6
lumps,4,6.2,6.2,4
vises,7,5.6,6.4,7
milds,4,5.6,4.8,4
coach,3,4.2,5.2,6
sixty,3,4.2,6.0,4
rebop,5,4.2,5.6,5
chert,5,4.0,5.4,5
derms,5,5.6,5.2,3
gater,8,6.2,6.8,7
vuggy,7,5.2,6.6,7
strop,3,4.6,5.4,4
trice,3,5.6,6.0,4
hemic,4,4.8,4.8,5
badge,5,5.2,6.2,4
virtu,4,4.6,4.0,3
balmy,5,4.8,5.4,5
enorm,3,4.8,4.8,5
vised,6,4.8,5.8,7
ogams,4,4.6,5.8,6
algum,5,4.6,3.0,4
eyrie,5,5.2,3.8,4
jeans,10,8.0,6.0,9
thewy,5,4.0,4.4,4
braes,3,4.4,8.2,7
surfy,4,6.8,6.2,4
casky,5,5.2,6.0,4
shave,5,5.8,5.8,7
dusks,5,5.8,5.0,6
blimy,3,4.4,5.0,5
runny,4,5.4,5.4,4
aches,6,6.0,7.2,5
swith,4,4.4,4.6,5
amend,4,4.4,3.2,3
newsy,4,4.4,4.6,5
motto,4,6.2,4.6,5
unwet,5,6.2,5.0,5
sayid,4,4.4,3.4,4
wedge,6,5.6,4.2,6
slows,6,6.0,5.8,9
farle,4,5.6,6.2,5
defog,5,4.6,5.8,7
pyins,4,4.4,5.4,5
carny,3,6.4,6.0,3
fears,9,6.8,6.8,9
deans,4,5.4,5.6,4
reoil,3,4.4,3.4,3
imids,6,4.8,4.4,6
borne,2,5.2,5.0,3
larks,4,5.2,6.8,4
paras,7,5.8,6.4,6
atman,6,4.4,4.4,4
girns,4,5.8,4.4,5
slick,5,4.2,5.2,5
fiars,4,5.8,5.4,7
whizz,5,4.8,5.8,6
loofs,8,6.0,4.8,7
adits,4,4.8,4.0,3
scarf,6,5.2,4.6,6
asper,2,4.6,4.0,4
feria,4,5.0,5.2,4
padle,4,5.6,4.2,3
canoe,2,4.2,4.6,4
rotas,2,5.6,4.4,3
skins,6,5.2,4.6,6
virid,4,4.8,3.8,4
drays,8,5.2,4.2,6
synth,3,4.2,4.0,3
ceros,2,5.6,5.8,3
pates,4,6.2,6.8,4
cliff,5,5.2,4.8,5
kugel,4,4.4,4.4,5
palmy,4,3.8,6.0,4
bitsy,5,4.8,4.6,5
hence,4,5.6,4.8,4
lunge,3,4.4,4.4,3
clade,3,4.8,4.8,5
horns,6,5.6,5.8,6
biffs,8,5.8,5.0,7
spawn,5,5.4,4.6,5
tusks,6,4.6,5.2,5
knits,6,5.0,4.8,4
maist,3,5.0,5.0,5
unrig,4,4.6,4.2,5
whort,3,5.0,4.8,4
yirrs,7,4.8,6.0,6
clash,4,5.8,5.6,4
lobar,3,5.2,4.2,4
hertz,4,5.4,5.0,4
impis,4,5.4,4.6,4
torch,3,4.2,3.6,3
gibes,5,6.8,5.8,5
tuxes,5,4.6,6.6,5
